"","X.1","X","respondent_id","gender","age","height","children_under_18","household_income","education","location","frequency","recline_frequency","recline_obligation","recline_rude","recline_eliminate","switch_seats_friends","switch_seats_family","wake_up_bathroom","wake_up_walk","baby","unruly_child","two_arm_rests","middle_arm_rest","shade","unsold_seat","talk_stranger","get_up","electronics","smoked","NAcount","nrecline_rude","nage","agen","ngender","nrecline_frequency","frequentfliers"
"821",821,821,3432186436,"Male","45-60","5'10""",TRUE,"$50,000 - $99,999","Some college or Associate degree","Middle Atlantic","Once a year or less","Never",FALSE,"No",FALSE,"No","No","Somewhat","Very","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Once",FALSE,FALSE,0,1,NA,3,1,0,0
"822",822,822,3432183076,"Female","> 60","5'2""",FALSE,"$100,000 - $149,999","Bachelor degree","Mountain","Once a month or less","Usually",FALSE,"No",TRUE,"Somewhat","Somewhat","No","Somewhat","No","Somewhat","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Twice",TRUE,FALSE,0,1,NA,4,0,3,0
"823",823,823,3432182699,"Female","18-29","5'2""",FALSE,"$100,000 - $149,999","Some college or Associate degree","South Atlantic","Once a year or less","Never",TRUE,"Somewhat",TRUE,"Somewhat","Somewhat","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","Somewhat","More than five times times",FALSE,FALSE,0,2,NA,1,0,0,0
"824",824,824,3432182171,"Female","18-29","5'6""",FALSE,NA,"Some college or Associate degree","Middle Atlantic","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Very","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Very","Twice",TRUE,FALSE,1,2,NA,1,0,0,0
"825",825,825,3432178805,"Female","> 60",NA,NA,"$50,000 - $99,999","Graduate degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,0,NA,0
"826",826,826,3432173421,"Male","45-60","5'8""",FALSE,"$25,000 - $49,999","High school degree","East North Central","Once a year or less","Always",TRUE,"Somewhat",FALSE,"No","No","No","No","No","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,2,NA,3,1,4,0
"827",827,827,3432173072,"Female","> 60","5'4""",FALSE,"$25,000 - $49,999","Some college or Associate degree","Middle Atlantic","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Four times",FALSE,FALSE,0,2,NA,4,0,0,0
"828",828,828,3432171106,"Male","45-60","5'6""",FALSE,"$100,000 - $149,999","Graduate degree","South Atlantic","Once a year or less","Never",TRUE,"Very",FALSE,"No","No","No","No","Very","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Three times",FALSE,FALSE,0,3,NA,3,1,0,0
"829",829,829,3432169273,"Male","45-60","6'0""",TRUE,"$50,000 - $99,999","Some college or Associate degree","Middle Atlantic","Once a year or less","Usually",FALSE,"No",FALSE,"Very","Very","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Four times",FALSE,FALSE,0,1,NA,3,1,3,0
"830",830,830,3432169093,"Female","> 60",NA,NA,NA,"Bachelor degree","East South Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,4,0,NA,0
"831",831,831,3432167201,"Male","30-44","5'9""",FALSE,"$50,000 - $99,999","Graduate degree","Pacific","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,1,NA,2,1,3,0
"832",832,832,3432163496,"Female","30-44","5'9""",TRUE,"$50,000 - $99,999","Some college or Associate degree","West South Central","Once a year or less","Once in a while",FALSE,"No",FALSE,"Somewhat","Somewhat","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Once",FALSE,FALSE,0,1,NA,2,0,1,0
"833",833,833,3432160108,"Female","45-60","5'5""",FALSE,NA,"Some college or Associate degree","West South Central","Once a year or less","About half the time",TRUE,"Somewhat",FALSE,"Somewhat","Somewhat","No","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Very","Twice",FALSE,FALSE,1,2,NA,3,0,2,0
"834",834,834,3432157976,"Male","45-60","5'11""",FALSE,"$100,000 - $149,999","Bachelor degree","Middle Atlantic","Once a year or less","Always",TRUE,"No",TRUE,"Somewhat","No","No","Somewhat","Somewhat","Very","The person in the middle seat gets both arm rests","The person in aisle","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,1,NA,3,1,4,0
"835",835,835,3432152520,"Male","30-44","5'9""",FALSE,NA,"High school degree","West South Central","Once a year or less","Once in a while",FALSE,"Somewhat",FALSE,"No","No","Somewhat","Somewhat","No","Very","The arm rests should be shared","The person by the window","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,2,NA,2,1,1,0
"836",836,836,3432152404,"Female","> 60",NA,NA,"$50,000 - $99,999","Some college or Associate degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,0,NA,0
"837",837,837,3432148736,"Male","45-60","6'3""",FALSE,"$100,000 - $149,999","Graduate degree","West North Central","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,1,1,0
"838",838,838,3432147692,"Male","45-60","6'0""",FALSE,NA,"Graduate degree","Pacific","Once a month or less","Once in a while",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","Whoever puts their arm on the arm rest first","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,1,NA,3,1,1,0
"839",839,839,3432144332,"Female","45-60","5'5""",TRUE,NA,"Bachelor degree","East North Central","Once a year or less","Always",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,1,NA,3,0,4,0
"840",840,840,3432144315,"Female","45-60","5'4""",TRUE,"$25,000 - $49,999","High school degree","East North Central","Once a year or less","Never",TRUE,"Very",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,3,NA,3,0,0,0
"841",841,841,3432142382,"Male","30-44","5'6""",FALSE,"$50,000 - $99,999","Bachelor degree","West South Central","Once a month or less","About half the time",FALSE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Twice",FALSE,FALSE,0,1,NA,2,1,2,0
"842",842,842,3432141356,"Male","45-60","5'8""",FALSE,"$25,000 - $49,999","Graduate degree","South Atlantic","Once a year or less","Usually",FALSE,"Somewhat",TRUE,"Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","No","Whoever puts their arm on the arm rest first","The person in aisle","The person in the window seat should have exclusive control","Somewhat","Somewhat","Four times",TRUE,FALSE,0,2,NA,3,1,3,0
"843",843,843,3432137466,NA,NA,"5'8""",NA,NA,NA,NA,"Once a month or less","About half the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,2,0
"844",844,844,3432133469,"Female","45-60","5'1""",FALSE,NA,"Graduate degree","East North Central","Once a year or less","Never",TRUE,"Somewhat",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,2,NA,3,0,0,0
"845",845,845,3432131854,"Female","30-44","5'6""",FALSE,"$25,000 - $49,999","Bachelor degree","South Atlantic","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","Somewhat","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,2,0,3,0
"846",846,846,3432130915,"Female","> 60","5'7""",FALSE,"$50,000 - $99,999","Graduate degree","South Atlantic","A few times per month","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Very","Whoever puts their arm on the arm rest first","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,2,NA,4,0,1,1
"847",847,847,3432121736,"Female","18-29","5'8""",FALSE,"$100,000 - $149,999","Bachelor degree","South Atlantic","Once a month or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,0,1,NA,1,0,1,0
"848",848,848,3432120794,"Male","> 60","5'9""",FALSE,"$100,000 - $149,999","Some college or Associate degree","South Atlantic","Once a year or less","Once in a while",TRUE,"No",TRUE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,1,0
"849",849,849,3432120431,"Female","45-60","5'4""",FALSE,"$50,000 - $99,999","Graduate degree","Middle Atlantic","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","Very","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Once",FALSE,FALSE,0,1,NA,3,0,3,0
"850",850,850,3432120329,"Female","45-60","5'0""",TRUE,"$50,000 - $99,999","Some college or Associate degree","New England","Once a year or less","Usually",FALSE,"No",FALSE,"Somewhat","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,0,1,NA,3,0,3,0
"851",851,851,3432118621,"Male","45-60","6'0""",TRUE,"$50,000 - $99,999","Bachelor degree","East North Central","Once a year or less","Once in a while",FALSE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The person by the window","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,3,1,1,0
"852",852,852,3432118237,"Female","45-60","5'7""",FALSE,NA,"Bachelor degree","New England","Once a year or less","Once in a while",FALSE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Twice",FALSE,FALSE,1,1,NA,3,0,1,0
"853",853,853,3432116227,"Female","30-44","5'8""",TRUE,NA,"Bachelor degree","East North Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"Somewhat","No","No","No","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,2,NA,2,0,1,0
"854",854,854,3432115440,"Female","30-44","5'4""",TRUE,NA,"Bachelor degree","East North Central","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","Very","Very","No","No","The arm rests should be shared","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Once",FALSE,FALSE,1,1,NA,2,0,3,0
"855",855,855,3432112874,"Female","18-29","5'3""",FALSE,NA,"Bachelor degree","New England","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The arm rests should be shared","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Once",FALSE,FALSE,1,1,NA,1,0,2,0
"856",856,856,3432112271,"Male","45-60","6'2""",FALSE,"$100,000 - $149,999","Some college or Associate degree","Middle Atlantic","Once a year or less","Once in a while",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",TRUE,FALSE,0,1,NA,3,1,1,0
"857",857,857,3432109525,"Female","45-60","5'8""",FALSE,"$100,000 - $149,999","Some college or Associate degree","New England","Once a month or less","Usually",TRUE,"No",FALSE,"No","No","No","No","No","Somewhat","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,1,NA,3,0,3,0
"858",858,858,3432108702,"Male","45-60","5'10""",TRUE,"$100,000 - $149,999","Bachelor degree","East North Central","Once a year or less","Once in a while",FALSE,"No",FALSE,"No","No","No","No","No","No","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",TRUE,FALSE,0,1,NA,3,1,1,0
"859",859,859,3432107773,"Female","30-44","5'4""",TRUE,"$50,000 - $99,999","Graduate degree","West North Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","No","Very","The people in the aisle and window seats get both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,2,NA,2,0,1,0
"860",860,860,3432102440,"Female","18-29","5'4""",FALSE,NA,"Bachelor degree","South Atlantic","Once a year or less","Once in a while",TRUE,"No",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,1,1,NA,1,0,1,0
"861",861,861,3432101827,"Female","30-44",NA,NA,"$25,000 - $49,999","High school degree","New England","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,0,NA,0
"862",862,862,3432099779,"Male","30-44",NA,NA,NA,"Some college or Associate degree","East South Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,2,1,NA,0
"863",863,863,3432095255,"Male","45-60","5'7""",FALSE,"$50,000 - $99,999","Some college or Associate degree","Middle Atlantic","Once a year or less","Always",TRUE,"No",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,1,4,0
"864",864,864,3432094936,"Female","> 60","5'2""",FALSE,NA,"Bachelor degree","New England","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","It is not okay to get up during flight",FALSE,FALSE,1,2,NA,4,0,1,0
"865",865,865,3432093428,"Male","18-29","6'0""",FALSE,"$0 - $24,999","Some college or Associate degree","Mountain","Once a year or less","Usually",TRUE,"No",FALSE,"Somewhat","No","No","Somewhat","No","Somewhat","The arm rests should be shared","Other (please specify)","The person in the window seat should have exclusive control","Somewhat","Somewhat","Four times",TRUE,FALSE,0,1,NA,1,1,3,0
"866",866,866,3432092158,"Male","30-44","5'10""",TRUE,"$100,000 - $149,999","Graduate degree","New England","Once a year or less","Usually",FALSE,"No",FALSE,"Somewhat","Somewhat","No","Somewhat","No","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,0,1,NA,2,1,3,0
"867",867,867,3432086587,"Female","18-29","5'2""",TRUE,"$50,000 - $99,999","Bachelor degree","East North Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","Somewhat","Three times",FALSE,FALSE,0,2,NA,1,0,1,0
"868",868,868,3432079098,"Male","45-60","5'11""",FALSE,NA,"Graduate degree","East North Central","Once a month or less","Never",TRUE,"Somewhat",FALSE,"Somewhat","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,2,NA,3,1,0,0
"869",869,869,3432077793,"Female","18-29","6'2""",FALSE,"$100,000 - $149,999","Graduate degree","Pacific","Once a year or less","Never",TRUE,"Very",FALSE,"No","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,3,NA,1,0,0,0
"870",870,870,3432076946,"Female","18-29","5'0""",FALSE,"$50,000 - $99,999","High school degree","Middle Atlantic","Once a year or less","Usually",FALSE,"No",TRUE,"No","No","No","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","Somewhat","Three times",FALSE,FALSE,0,1,NA,1,0,3,0
"871",871,871,3432076181,"Female","18-29","5'9""",FALSE,"$50,000 - $99,999","Some college or Associate degree","New England","A few times per month","Never",TRUE,"Very",FALSE,"No","No","Somewhat","Very","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,0,3,NA,1,0,0,1
"872",872,872,3432074152,"Female","18-29","5'2""",FALSE,"$50,000 - $99,999","Graduate degree","Middle Atlantic","Once a month or less","Always",FALSE,"No",FALSE,"Somewhat","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Twice",FALSE,FALSE,0,1,NA,1,0,4,0
"873",873,873,3432067639,"Male","30-44","5'10""",FALSE,"$100,000 - $149,999","Bachelor degree","South Atlantic","A few times per month","Never",FALSE,"Somewhat",TRUE,"Somewhat","Somewhat","Very","Very","Very","Very","Other (please specify)","Other (please specify)","The person in the window seat should have exclusive control","Very","No","It is not okay to get up during flight",FALSE,FALSE,0,2,NA,2,1,0,1
"874",874,874,3432063041,"Male","> 60","5'3""",FALSE,"$50,000 - $99,999","Graduate degree","East North Central","Once a year or less","About half the time",TRUE,"No",FALSE,"Somewhat","Somewhat","No","No","No","Somewhat","Other (please specify)","Other (please specify)","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,4,1,2,0
"875",875,875,3432062843,"Female","45-60","5'6""",FALSE,"$50,000 - $99,999","Some college or Associate degree","West South Central","Once a month or less","Once in a while",FALSE,"No",FALSE,"No","No","No","No","No","Very","The arm rests should be shared","Other (please specify)","The person in the window seat should have exclusive control","Somewhat","No","Once",FALSE,FALSE,0,1,NA,3,0,1,0
"876",876,876,3432059918,"Male","45-60",NA,NA,"$100,000 - $149,999","Some college or Associate degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"877",877,877,3432055722,"Male","> 60","6'2""",FALSE,NA,"Bachelor degree","Middle Atlantic","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The person by the window","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,2,NA,4,1,0,0
"878",878,878,3432050868,"Female","> 60","5'2""",FALSE,"$25,000 - $49,999","Some college or Associate degree","Mountain","Once a year or less","About half the time",FALSE,"No",FALSE,"Somewhat","Somewhat","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","More than five times times",FALSE,FALSE,0,1,NA,4,0,2,0
"879",879,879,3432049127,"Female","18-29",NA,NA,"$25,000 - $49,999","Some college or Associate degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,0,NA,0
"880",880,880,3432045984,"Male","18-29","5'9""",FALSE,"$25,000 - $49,999","Graduate degree","Pacific","Once a year or less","About half the time",FALSE,"No",FALSE,"No","No","No","Very","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Four times",FALSE,FALSE,0,1,NA,1,1,2,0
"881",881,881,3432042471,"Female","30-44","5'4""",NA,"$0 - $24,999","Some college or Associate degree","South Atlantic","Once a month or less","Never",TRUE,"No",TRUE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,1,NA,2,0,0,0
"882",882,882,3432042001,"Female","18-29","5'6""",FALSE,"$50,000 - $99,999","High school degree","Mountain","Once a month or less","Usually",TRUE,"Somewhat",FALSE,"No","No","No","Somewhat","Somewhat","Very","The person in the middle seat gets both arm rests","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Twice",TRUE,FALSE,0,2,NA,1,0,3,0
"883",883,883,3432026203,"Male","30-44","6'0""",TRUE,"$50,000 - $99,999","Bachelor degree","West South Central","Once a year or less","Once in a while",FALSE,"Somewhat",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",TRUE,FALSE,0,2,NA,2,1,1,0
"884",884,884,3432019714,"Female","45-60","5'5""",FALSE,"$25,000 - $49,999","High school degree","East South Central","Once a year or less","Never",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,3,0,0,0
"885",885,885,3432002937,"Male","45-60",NA,NA,NA,"Graduate degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,1,NA,0
"886",886,886,3432000900,"Female","18-29","5'4""",FALSE,NA,"Some college or Associate degree","Pacific","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","No","Very","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",TRUE,FALSE,1,1,NA,1,0,1,0
"887",887,887,3431998894,"Male","> 60","5'7""",FALSE,NA,"Graduate degree","East North Central","Once a year or less","Never",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,2,NA,4,1,0,0
"888",888,888,3431991453,"Female","18-29",NA,NA,NA,"High school degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,0,NA,0
"889",889,889,3431987978,"Female","18-29","5'4""",TRUE,"$25,000 - $49,999","Some college or Associate degree","Pacific","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,2,NA,1,0,0,0
"890",890,890,3431985765,"Female","18-29","5'7""",FALSE,"$50,000 - $99,999","High school degree","Pacific","Once a month or less","Once in a while",FALSE,"Somewhat",FALSE,"No","No","Somewhat","Very","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Three times",FALSE,FALSE,0,2,NA,1,0,1,0
"891",891,891,3431975254,"Female","> 60","5'4""",FALSE,"$50,000 - $99,999","Graduate degree","East North Central","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"Somewhat","No","Somewhat","Somewhat","No","No","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","Somewhat","Somewhat","Once",FALSE,FALSE,0,2,NA,4,0,1,0
"892",892,892,3431974147,"Female","30-44","5'1""",TRUE,"$50,000 - $99,999","Some college or Associate degree","Pacific","Once a year or less","Usually",TRUE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","No","No","The person in the middle seat gets both arm rests","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","Somewhat","Twice",FALSE,FALSE,0,1,NA,2,0,3,0
"893",893,893,3431971431,"Male","18-29","5'2""",FALSE,"$50,000 - $99,999","Bachelor degree","West South Central","Once a year or less","Once in a while",FALSE,"Somewhat",FALSE,"Somewhat","No","Very","Very","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,2,NA,1,1,1,0
"894",894,894,3431953153,"Female","45-60","6'0""",TRUE,"$50,000 - $99,999","Some college or Associate degree","West South Central","Once a month or less","Always",TRUE,"No",FALSE,"No","No","Somewhat","Very","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,0,4,0
"895",895,895,3431951668,"Female","18-29","5'6""",FALSE,NA,"Bachelor degree","Pacific","Once a month or less","Always",FALSE,"Somewhat",FALSE,"Somewhat","Somewhat","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",TRUE,FALSE,1,2,NA,1,0,4,0
"896",896,896,3431949818,"Female","30-44","5'8""",FALSE,NA,"Graduate degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,1,1,NA,2,0,4,0
"897",897,897,3431936484,"Male","30-44","6'1""",FALSE,"$50,000 - $99,999","Bachelor degree","New England","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","Somewhat","Very","Somewhat","Very","Other (please specify)","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,0,1,NA,2,1,3,0
"898",898,898,3431936351,"Female","30-44","5'4""",FALSE,"$50,000 - $99,999","Some college or Associate degree","Pacific","Once a year or less","Never",TRUE,"Very",TRUE,"Very","Somewhat","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,3,NA,2,0,0,0
"899",899,899,3431932411,"Female","30-44","5'8""",FALSE,"$100,000 - $149,999","Graduate degree","South Atlantic","Once a month or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,2,0,4,0
"900",900,900,3431921466,"Male","30-44","5'4""",TRUE,"$0 - $24,999","Some college or Associate degree","New England","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","More than five times times",FALSE,FALSE,0,1,NA,2,1,2,0
"901",901,901,3431912532,"Male","45-60","5'10""",FALSE,"$100,000 - $149,999","Graduate degree","Mountain","Once a year or less","Once in a while",FALSE,"Somewhat",TRUE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,2,NA,3,1,1,0
"902",902,902,3431907216,"Male","45-60","5'11""",FALSE,NA,"Graduate degree","Pacific","Once a year or less","Once in a while",TRUE,"Very",TRUE,"No","No","No","Somewhat","Very","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Three times",TRUE,FALSE,1,3,NA,3,1,1,0
"903",903,903,3431906335,"Female","18-29",NA,NA,"$50,000 - $99,999","Bachelor degree","West North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,0,NA,0
"904",904,904,3431904312,"Female","> 60",NA,NA,NA,"Some college or Associate degree","New England","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,4,0,NA,0
